abandon -> abandons,abandoning,abandoned
detain -> detains,detaining,detained
detect -> detects,detecting,detected
deter -> deters,deterring,deterred
deteriorate -> deteriorates,deteriorating,deteriorated
determine -> determines,determining,determined
detest -> detests,detesting,detested
dethrone -> dethrones,dethroning,dethroned
detonate -> detonates,detonating,detonated
detract -> detracts,detracting,detracted
devalue -> devalues,devaluing,devalued
devastate -> devastates,devastating,devastated
develop -> develops,developing,developed
deviate -> deviates,deviating,deviated
devise -> devises,devising,devised
devolve -> devolves,devolving,devolved
devote -> devotes,devoting,devoted
devour -> devours,devouring,devoured
diagnose -> diagnoses,diagnosing,diagnosed
dial -> dials,dialling,dialled
dice -> dices,dicing,diced
dicky -> dickies,dickier,dickiest
dictate -> dictates,dictating,dictated
diddle -> diddles,diddling,diddled
die -> dies,dying,died
diet -> diets,dieting,dieted
differ -> differs,differing,differed
differentiate -> differentiates,differentiating,differentiated
diffuse -> diffuses,diffusing,diffused
dig -> digs,digging,dug
digest -> digests,digesting,digested
dignify -> dignifies,dignifying,dignified
digress -> digresses,digressing,digressed
dilate -> dilates,dilating,dilated
dilute -> dilutes,diluting,diluted
dim -> dimmer,dimmest,dims,dimming,dimmed
diminish -> diminishes,diminishing,diminished
din -> dins,dinning,dinned
dine -> dines,dining,dined
dip -> dips,dipping,dipped
direct -> directs,directing,directed
dirty -> dirtier,dirtiest,dirties,dirtying,dirtied
disable -> disables,disabling,disabled
disabuse -> disabuses,disabusing,disabused
disagree -> disagrees,disagreeing,disagreed
disallow -> disallows,disallowing,disallowed
disappear -> disappears,disappearing,disappeared
disappoint -> disappoints,disappointing,disappointed
disapprove -> disapproves,disapproving,disapproved
disarm -> disarms,disarming,disarmed
disarrange -> disarranges,disarranging,disarranged
disassociate -> disassociates,disassociating,disassociated
disavow -> disavows,disavowing,disavowed
disband -> disbands,disbanding,disbanded
disbelieve -> disbelieves,disbelieving,disbelieved
disburse -> disburses,disbursing,disbursed
discard -> discards,discarding,discarded
discern -> discerns,discerning,discerned
discharge -> discharges,discharging,discharged
discipline -> disciplines,disciplining,disciplined
disclaim -> disclaims,disclaiming,disclaimed
disclose -> discloses,disclosing,disclosed
discolour -> discolours,discolouring,discoloured
discomfit -> discomfits,discomfiting,discomfited
disconcert -> disconcerts,disconcerting,disconcerted
disconnect -> disconnects,disconnecting,disconnected
discontinue -> discontinues,discontinuing,discontinued
discount -> discounts,discounting,discounted
discourage -> discourages,discouraging,discouraged
discourse -> discourses,discoursing,discoursed
discover -> discovers,discovering,discovered
discredit -> discredits,discrediting,discredited
discriminate -> discriminates,discriminating,discriminated
discuss -> discusses,discussing,discussed
disdain -> disdains,disdaining,disdained
disembark -> disembarks,disembarking,disembarked
disembowel -> disembowels,disembowelling,disembowelled
disenfranchise -> disenfranchises,disenfranchising,disenfranchised
disengage -> disengages,disengaging,disengaged
disentangle -> disentangles,disentangling,disentangled
disestablish -> disestablishes,disestablishing,disestablished
disfigure -> disfigures,disfiguring,disfigured
disgorge -> disgorges,disgorging,disgorged
disgrace -> disgraces,disgracing,disgraced
disguise -> disguises,disguising,disguised
disgust -> disgusts,disgusting,disgusted
dish -> dishes,dishing,dished
dishonour -> dishonours,dishonouring,dishonoured
disillusion -> disillusions,disillusioning,disillusioned
disinfect -> disinfects,disinfecting,disinfected
disinherit -> disinherits,disinheriting,disinherited
disintegrate -> disintegrates,disintegrating,disintegrated
disinter -> disinters,disinterring,disinterred
dislike -> dislikes,disliking,disliked
dislocate -> dislocates,dislocating,dislocated
dislodge -> dislodges,dislodging,dislodged
dismantle -> dismantles,dismantling,dismantled
dismay -> dismays,dismaying,dismayed
dismember -> dismembers,dismembering,dismembered
dismiss -> dismisses,dismissing,dismissed
dismount -> dismounts,dismounting,dismounted
disobey -> disobeys,disobeying,disobeyed
disorganize -> disorganizes,disorganizing,disorganized
disorient -> disorients,disorienting,disoriented
disorientate -> disorientates,disorientating,disorientated
disown -> disowns,disowning,disowned
disparage -> disparages,disparaging,disparaged
dispatch -> dispatches,dispatching,dispatched
dispel -> dispels,dispelling,dispelled
dispense -> dispenses,dispensing,dispensed
disperse -> disperses,dispersing,dispersed
displace -> displaces,displacing,displaced
display -> displays,displaying,displayed
displease -> displeases,displeasing,displeased
disport -> disports,disporting,disported
dispose -> disposes,disposing,disposed
dispossess -> dispossesses,dispossessing,dispossessed
disprove -> disproves,disproving,disproved
dispute -> disputes,disputing,disputed
disqualify -> disqualifies,disqualifying,disqualified
disquiet -> disquiets,disquieting,disquieted
disregard -> disregards,disregarding,disregarded
disrobe -> disrobes,disrobing,disrobed
disrupt -> disrupts,disrupting,disrupted
dissect -> dissects,dissecting,dissected
dissemble -> dissembles,dissembling,dissembled
disseminate -> disseminates,disseminating,disseminated
dissent -> dissents,dissenting,dissented
dissimulate -> dissimulates,dissimulating,dissimulated
dissipate -> dissipates,dissipating,dissipated
dissociate -> dissociates,dissociating,dissociated
dissolve -> dissolves,dissolving,dissolved
dissuade -> dissuades,dissuading,dissuaded
distance -> distances,distancing,distanced
distend -> distends,distending,distended
distil -> distils,distilling,distilled
distinguish -> distinguishes,distinguishing,distinguished
distort -> distorts,distorting,distorted
distract -> distracts,distracting,distracted
distress -> distresses,distressing,distressed
distribute -> distributes,distributing,distributed
distrust -> distrusts,distrusting,distrusted
disturb -> disturbs,disturbing,disturbed
disunite -> disunites,disuniting,disunited
ditch -> ditches,ditching,ditched
dither -> dithers,dithering,dithered
dive -> dived,dove,dives,diving
diverge -> diverges,diverging,diverged
diversify -> diversifies,diversifying,diversified
divert -> diverts,diverting,diverted
divest -> divests,divesting,divested
divide -> divides,dividing,divided
divine -> divines,divining,divined
divorce -> divorces,divorcing,divorced
divulge -> divulges,divulging,divulged
dizzy -> dizzier,dizziest,dizzies,dizzying,dizzied
do -> does,doing,did,done
dock -> docks,docking,docked
docket -> dockets,docketing,docketed
doctor -> doctors,doctoring,doctored
document -> documents,documenting,documented
dodder -> dodders,doddering,doddered
dodge -> dodges,dodging,dodged
doff -> doffs,doffing,doffed
dog -> dogs,dogging,dogged
dogmatize -> dogmatizes,dogmatizing,dogmatized
dole -> doles,doling,doled
doll -> dolls,dolling,dolled
domesticate -> domesticates,domesticating,domesticated
dominate -> dominates,dominating,dominated
don -> dons,donning,donned
donate -> donates,donating,donated
doodle -> doodles,doodling,doodled
doom -> dooms,dooming,doomed
dope -> dopes,doping,doped
dose -> doses,dosing,dosed
dot -> dots,dotting,dotted
dote -> dotes,doting,doted
double -> doubles,doubling,doubled
double-check -> double-checks,double-checking,double-checked
double-cross -> double-crosses,double-crossing,double-crossed
double-glaze -> double-glazes,double-glazing,double-glazed
double-park -> double-parks,double-parking,double-parked
doubt -> doubts,doubting,doubted
douse -> douses,dousing,doused
dovetail -> dovetails,dovetailing,dovetailed
down -> downs,downing,downed
downgrade -> downgrades,downgrading,downgraded
dowse -> dowses,dowsing,dowsed
doze -> dozes,dozing,dozed
draft -> drafts,drafting,drafted
drag -> drags,dragging,dragged
dragoon -> dragoons,dragooning,dragooned
drain -> drains,draining,drained
dramatize -> dramatizes,dramatizing,dramatized
drape -> drapes,draping,draped
draw -> draws,drew,drawn,drawing
drawl -> drawls,drawling,drawled
dread -> dreads,dreading,dreaded
dream -> dreams,dreaming,dreamed,dreamt
dredge -> dredges,dredging,dredged
drench -> drenches,drenching,drenched
dress -> dresses,dressing,dressed
dribble -> dribbles,dribbling,dribbled
drift -> drifts,drifting,drifted
drill -> drills,drilling,drilled
drink -> drinks,drinking,drank,drunk
drip -> dripped,dript,drips,dripping
drive -> drives,driving,drove,driven
drivel -> drivels,drivelling,drivelled
drizzle -> drizzles,drizzling,drizzled
drone -> drones,droning,droned
drool -> drools,drooling,drooled
droop -> droops,drooping,drooped
drop -> drops,dropping,dropped
drown -> drowns,drowning,drowned
drowse -> drowses,drowsing,drowsed
drug -> drugs,drugging,drugged
drum -> drums,drumming,drummed
dry -> drier,dryer,driest,dries,drying
dry-clean -> dry-cleans,dry-cleaning,dry-cleaned
dub -> dubs,dubbing,dubbed
duck -> ducks,ducking,ducked
duel -> duels,duelling,duelled
duff -> duffs,duffing,duffed
dull -> duller,dullest,dulls,dulling,dulled
dump -> dumps,dumping,dumped
dunk -> dunks,dunking,dunked
dupe -> dupes,duping,duped
duplicate -> duplicates,duplicating,duplicated
dust -> dusts,dusting,dusted
dwarf -> dwarfs,dwarfing,dwarfed
dwell -> dwells,dwelling,dwelled,dwelt
dwindle -> dwindles,dwindling,dwindled
dye -> dyes,dyeing,dyed
dynamite -> dynamites,dynamiting,dynamited
earmark -> earmarks,earmarking,earmarked
earn -> earns,earning,earned
earth -> earths,earthing,earthed
ease -> eases,easing,eased
eat -> eats,ate,eaten,eating
eavesdrop -> eavesdrops,eavesdropping,eavesdropped
ebb -> ebbs,ebbing,ebbed
echo -> echoes,echoing,echoed
eclipse -> eclipses,eclipsing,eclipsed
economize -> economizes,economizing,economized
eddy -> eddies,eddying,eddied
edge -> edges,edging,edged
edify -> edifies,edifying,edified
edit -> edits,editing,edited
editorialize -> editorializes,editorializing,editorialized
educate -> educates,educating,educated
efface -> effaces,effacing,effaced
effect -> effects,effecting,effected
egg -> eggs,egging,egged
ejaculate -> ejaculates,ejaculating,ejaculated
eject -> ejects,ejecting,ejected
eke -> ekes,eking,eked
elaborate -> elaborates,elaborating,elaborated
elapse -> elapses,elapsing,elapsed
elbow -> elbows,elbowing,elbowed
elect -> elects,electing,elected
electrify -> electrifies,electrifying,electrified
electrocute -> electrocutes,electrocuting,electrocuted
electroplate -> electroplates,electroplating,electroplated
elevate -> elevates,elevating,elevated
elicit -> elicits,eliciting,elicited
elide -> elides,eliding,elided
eliminate -> eliminates,eliminating,eliminated
elongate -> elongates,elongating,elongated
elope -> elopes,eloping,eloped
elucidate -> elucidates,elucidating,elucidated
elude -> eludes,eluding,eluded
emanate -> emanates,emanating,emanated
emancipate -> emancipates,emancipating,emancipated
emasculate -> emasculates,emasculating,emasculated
embalm -> embalms,embalming,embalmed
embargo -> embargoes,embargoing,embargoed
embark -> embarks,embarking,embarked
embarrass -> embarrasses,embarrassing,embarrassed
embed -> embeds,embedding,embedded
embellish -> embellishes,embellishing,embellished
embezzle -> embezzles,embezzling,embezzled
embitter -> embitters,embittering,embittered
emblazon -> emblazons,emblazoning,emblazoned
embody -> embodies,embodying,embodied
embolden -> emboldens,emboldening,emboldened
embrace -> embraces,embracing,embraced
embroider -> embroiders,embroidering,embroidered
embroil -> embroils,embroiling,embroiled
emend -> emends,emending,emended
emerge -> emerges,emerging,emerged
emigrate -> emigrates,emigrating,emigrated
emit -> emits,emitting,emitted
empathize -> empathizes,empathizing,empathized
emphasize -> emphasizes,emphasizing,emphasized
employ -> employs,employing,employed
empower -> empowers,empowering,empowered
empty -> emptier,emptiest,empties,emptying,emptied
emulate -> emulates,emulating,emulated
emulsify -> emulsifies,emulsifying,emulsified
emulsion -> emulsions,emulsioning,emulsioned
enable -> enables,enabling,enabled
enact -> enacts,enacting,enacted
enamel -> enamels,enamelling,enamelled
encamp -> encamps,encamping,encamped
encapsulate -> encapsulates,encapsulating,encapsulated
encase -> encases,encasing,encased
enchant -> enchants,enchanting,enchanted
encircle -> encircles,encircling,encircled
enclose -> encloses,enclosing,enclosed
encode -> encodes,encoding,encoded
encompass -> encompasses,encompassing,encompass
encore -> encores,encoring,encored
encounter -> encounters,encountering,encountered
encourage -> encourages,encouraging,encouraged
encroach -> encroaches,encroaching,encroached
encumber -> encumbers,encumbering,encumbered
end -> ends,ending,ended
endanger -> endangers,endangering,endangered
endear -> endears,endearing,endeared
endeavour -> endeavours,endeavouring,endeavoured
endorse -> endorses,endorsing,endorsed
endow -> endows,endowing,endowed
endure -> endures,enduring,endured
energize -> energizes,energizing,energized
enfold -> enfolds,enfolding,enfolded
enforce -> enforces,enforcing,enforced
enfranchise -> enfranchises,enfranchising,enfranchised
engage -> engages,engaging,engaged
engender -> engenders,engendering,engendered
engineer -> engineers,engineering,engineered
engrave -> engraves,engraving,engraved
engulf -> engulfs,engulfing,engulfed
enhance -> enhances,enhancing,enhanced
enjoin -> enjoins,enjoining,enjoined
enjoy -> enjoys,enjoying,enjoyed
enlarge -> enlarges,enlarging,enlarged
enlighten -> enlightens,enlightening,enlightened
enlist -> enlists,enlisting,enlisted
enliven -> enlivens,enlivening,enlivened
ennoble -> ennobles,ennobling,ennobled
enquire -> enquires,enquiring,enquired
enrage -> enrages,enraging,enraged
enrich -> enriches,enriching,enriched
enrol -> enrols,enrolling,enrolled
ensconce -> ensconces,ensconcing,ensconced
enshrine -> enshrines,enshrining,enshrined
enshroud -> enshrouds,enshrouding,enshrouded
enslave -> enslaves,enslaving,enslaved
ensnare -> ensnares,ensnaring,ensnared
ensue -> ensues,ensuing,ensued
ensure -> ensures,ensuring,ensured
entail -> entails,entailing,entailed
entangle -> entangles,entangling,entangled
enter -> enters,entering,entered
entertain -> entertains,entertaining,entertained
enthral -> enthrals,enthralling,enthralled
enthrone -> enthrones,enthroning,enthroned
enthuse -> enthuses,enthusing,enthused
entice -> entices,enticing,enticed
entitle -> entitles,entitling,entitled
entomb -> entombs,entombing,entombed
entrance -> entrances,entrancing,entranced
entrap -> entraps,entrapping,entrapped
entreat -> entreats,entreating,entreated
entrench -> entrenches,entrenching,entrenched
entrust -> entrusts,entrusting,entrusted
entwine -> entwines,entwining,entwined
enumerate -> enumerates,enumerating,enumerated
enunciate -> enunciates,enunciating,enunciated
envelop -> envelops,enveloping,enveloped
envisage -> envisages,envisaging,envisaged
envision -> envisions,envisioning,envisioned
envy -> envies,envying,envied
epitomize -> epitomizes,epitomizing,epitomized
equal -> equals,equalling,equalled
equalize -> equalizes,equalizing,equalized
equate -> equates,equating,equated
equip -> equips,equipping,equipped
equivocate -> equivocates,equivocating,equivocate
eradicate -> eradicates,eradicating,eradicated
erase -> erases,erasing,erased
erect -> erects,erecting,erected
erode -> erodes,eroding,eroded
err -> errs,erring,erred
erupt -> erupts,erupting,erupted
escalate -> escalates,escalating,escalated
escape -> escapes,escaping,escaped
eschew -> eschews,eschewing,eschewed
escort -> escorts,escorting,escorted
espouse -> espouses,espousing,espoused
espy -> espies,espying,espied
essay -> essays,essaying,essayed
establish -> establishes,establishing,established
esteem -> esteems,esteeming,esteemed
estimate -> estimates,estimating,estimated
etch -> etchs,etching,etched
eulogize -> eulogizes,eulogizing,eulogized
evacuate -> evacuates,evacuating,evacuated
evade -> evades,evading,evaded
evaluate -> evaluates,evaluating,evaluated
evanesce -> evanesces,evanescing,evanesced
evangelize -> evangelizes,evangelizing,evangelized
evaporate -> evaporates,evaporating,evaporated
even -> evens,evening,evened
evict -> evicts,evicting,evicted
evidence -> evidences,evidencing,evidenced
evince -> evinces,evincing,evinced
evoke -> evokes,evoking,evoked
evolve -> evolves,evolving,evolved
exacerbate -> exacerbates,exacerbating,exacerbated
exact -> exacts,exacting,exacted
exaggerate -> exaggerates,exaggerating,exaggerated
exalt -> exalts,exalting,exalted
examine -> examines,examining,examined
exasperate -> exasperates,exasperating,exasperated
excavate -> excavates,excavating,excavated
exceed -> exceeds,exceeding,exceeded
excel -> excels,excelling,excelled
except -> excepts,excepting,excepted
exchange -> exchanges,exchanging,exchanged
excise -> excises,excising,excised
excite -> excites,exciting,excited
exclaim -> exclaims,exclaiming,exclaimed
exclude -> excludes,excluding,excluded
excommunicate -> excommunicates,excommunicating,excommunicated
excrete -> excretes,excreting,excreted
exculpate -> exculpates,exculpating,exculpated
excuse -> excuses,excusing,excused
execute -> executes,executing,executed
exemplify -> exemplifies,exemplifying,exemplified
exempt -> exempts,exempting,exempted
exercise -> exercises,exercising,exercised
exert -> exerts,exerting,exerted
exhale -> exhales,exhaling,exhaled
exhaust -> exhausts,exhausting,exhausted
exhibit -> exhibits,exhibiting,exhibited
exhilarate -> exhilarates,exhilarating,exhilarated
exhort -> exhorts,exhorting,exhorted
exhume -> exhumes,exhuming,exhumed
exile -> exiles,exiling,exiled
exist -> exists,existing,existed
exit -> exits,exiting,exited
exonerate -> exonerates,exonerating,exonerated
exorcize -> exorcizes,exorcizing,exorcized
expand -> expands,expanding,expanded
expatiate -> expatiates,expatiating,expatiated
expect -> expects,expecting,expected
expedite -> expedites,expediting,expedited
expel -> expels,expelling,expelled
expend -> expends,expending,expended
experience -> experiences,experiencing,experienced
experiment -> experiments,experimenting,experimented
expiate -> expiates,expiating,expiated
expire -> expires,expiring,expired
explain -> explains,explaining,explained
explicate -> explicates,explicating,explicated
explode -> explodes,exploding,exploded
exploit -> exploits,exploiting,exploited
explore -> explores,exploring,explored
export -> exports,exporting,exported
expose -> exposes,exposing,exposed
expostulate -> expostulates,expostulating,expostulated
expound -> expounds,expounding,expounded
express -> expresses,expressing,expressed
expropriate -> expropriates,expropriating,expropriated
expunge -> expunges,expunging,expunged
expurgate -> expurgates,expurgating,expurgated
extemporize -> extemporizes,extemporizing,extemporized
extend -> extends,extending,extended
extenuate -> extenuates,extenuating,extenuated
exterminate -> exterminates,exterminating,exterminated
externalize -> externalizes,externalizing,externalized
extinguish -> extinguishes,extinguishing,extinguished
extol -> extols,extolling,extolled
extort -> extorts,extorting,extorted
extract -> extracts,extracting,extracted
extradite -> extradites,extraditing,extradited
extrapolate -> extrapolates,extrapolating,extrapolated
extricate -> extricates,extricating,extricated
extrude -> extrudes,extruding,extruded
exude -> exudes,exuding,exuded
exult -> exults,exulting,exulted
fabricate -> fabricates,fabricating,fabricated
face -> faces,facing,faced
facilitate -> facilitates,facilitating,facilitated
fade -> fades,fading,faded
fag -> fags,fagging,fagged
fail -> fails,failing,failed
faint -> fainter,faintest,faints,fainting,fainted
fair -> fairer,fairest,fairs
fake -> fakes,faking,faked
fall -> falls,falling,fell,fallen
falsify -> falsifies,falsifying,falsified
falter -> falters,faltering,faltered
familiarize -> familiarizes,familiarizing,familiarized
fan -> fans,fanning,fanned
fancy -> fancies,fancying,fancied,fancier,fanciest
fantasize -> fantasizes,fantasizing,fantasized
fare -> fares,faring,fared
farm -> farms,farming,farmed
farrow -> farrows,farrowing,farrowed
fart -> farts,farting,farted
fascinate -> fascinates,fascinating,fascinated
fashion -> fashions,fashioning,fashioned
fast -> faster,fastest,fasts,fasting,fasted
fasten -> fastens,fastening,fastened
fat -> fatter,fattest,fats
father -> fathers,fathering,fathered
fathom -> fathoms,fathoming,fathomed
fatigue -> fatigues,fatiguing,fatigued
fatten -> fattens,fattening,fattened
fatty -> fatties,fattier,fattiest
fault -> faults,faulting,faulted
favour -> favours,favouring,favoured
fawn -> fawns,fawning,fawned
faze -> fazes,fazing,fazed
fear -> fears,fearing,feared
feast -> feasts,feasting,feasted
feather -> feathers,feathering,feathered
feature -> features,featuring,featured
federate -> federates,federating,federated
Fedex -> Fedexes,Fedexing,Fedexed
feed -> feeds,feeding,fed
feel -> feels,feeling,felt
feign -> feigns,feigning,feigned
feint -> feints,feinting,feinted
fell -> fells,felling,felled
fence -> fences,fencing,fenced
fend -> fends,fending,fended
ferment -> ferments,fermenting,fermented
ferret -> ferrets,ferreting,ferreted
ferry -> ferries,ferrying,ferried
fertilize -> fertilizes,fertilizing,fertilized
fester -> festers,festering,festered
festoon -> festoons,festooning,festooned
fetch -> fetches,fetching,fetched
fete -> fetes,feting,feted
fetter -> fetters,fettering,fettered
feud -> feuds,feuding,feuded
fib -> fibs,fibbing,fibbed
fictionalize -> fictionalizes,fictionalizing,fictionalized
fiddle -> fiddles,fiddling,fiddled
fidget -> fidgets,fidgeting,fidgeted
field -> fields,fielding,fielded
field-test -> field-tests,field-testing,field-tested
fight -> fights,fighting,fought
figure -> figures,figuring,figured
filch -> filches,filching,filched
file -> files,filing,filed
filibuster -> filibusters,filibustering,filibustered
fill -> fills,filling,filled
fillet -> fillets,filleting,filleted
film -> films,filming,filmed
filter -> filters,filtering,filtered
finalize -> finalizes,finalizing,finalized
finance -> finances,financing,financed
find -> finds,finding,found
fine -> finer,finest,fines,fining,fined
finger -> fingers,fingering,fingered
fingerprint -> fingerprints,fingerprinting,fingerprinted
finish -> finishes,finishing,finished
fire -> fires,firing,fired
fireproof -> fireproofs,fireproofing,fireproofed
firm -> firmer,firmest,firms,firming,firmed
fish -> fishes,fishing,fished
fit -> fits,fitting,fitted,fitter,fittest
fix -> fixes,fixing,fixed
fizz -> fizzes,fizzing,fizzed
fizzle -> fizzles,fizzling,fizzled
flag -> flags,flagging,flagged
flagellate -> flagellates,flagellating,flagellated
flail -> flails,flailing,flailed
flake -> flakes,flaking,flaked
flambe -> flambes,flambeing,flambeed
flame -> flames,flaming,flamed
flank -> flanks,flanking,flanked
flannel -> flannels,flannelling,flannelled
flap -> flaps,flapping,flapped
flare -> flares,flaring,flared
flash -> flashes,flashing,flashed
flat -> flats,flatter,flattest
flatten -> flattens,flattening,flattened
flatter -> flatters,flattering,flattered
flaunt -> flaunts,flaunting,flaunted
flavour -> flavours,flavouring,flavoured
flay -> flays,flaying,flayed
fleck -> flecks,flecking,flecked
flee -> flees,fleeing,fled
fleece -> fleeces,fleecing,fleeced
flesh -> fleshes,fleshing,fleshed
flex -> flexes,flexing,flexed
flick -> flicks,flicking,flicked
flicker -> flickers,flickering,flickered
flimsy -> flimsier,flimsiest,flimsies
flinch -> flinches,flinching,flinched
fling -> flings,flinging,flung
flip -> flips,flipping,flipped
flirt -> flirts,flirting,flirted
flit -> flits,flitting,flitted
float -> floats,floating,floated
flock -> flocks,flocking,flocked
flog -> flogs,flogging,flogged
flood -> floods,flooding,flooded
floodlight -> floodlights,floodlighting,floodlit
floor -> floors,flooring,floored
flop -> flops,flopping,flopped
flounce -> flounces,flouncing,flounced
flounder -> flounders,floundering,floundered
flour -> flours,flouring,floured
flourish -> flourishes,flourishing,flourished
flout -> flouts,flouting,flouted
flow -> flows,flowing,flowed
flower -> flowers,flowering,flowered
fluctuate -> fluctuates,fluctuating,fluctuated
fluff -> fluffs,fluffing,fluffed
flummox -> flummoxes,flummoxing,flummoxed
flunk -> flunks,flunking,flunked
flush -> flushes,flushing,flushed
fluster -> flusters,flustering,flustered
flutter -> flutters,fluttering,fluttered
fly -> flies,flew,flied,flown,flying
foal -> foals,foaling,foaled
foam -> foams,foaming,foamed
fob -> fobs,fobbing,fobbed
focus -> foci,focuses,focusing,focused
fog -> fogs,fogging,fogged
foil -> foils,foiling,foiled
foist -> foists,foisting,foisted
fold -> folds,folding,folded
follow -> follows,following,followed
foment -> foments,fomenting,fomented
fondle -> fondles,fondling,fondled
fool -> fools,fooling,fooled
foot -> feet,foots,footing,footed
forage -> forages,foraging,foraged
forbear -> forbears,forbearing,forbore,forborne
forbid -> forbids,forbidding,forbade,forbidden
force -> forces,forcing,forced
force-feed -> force-feeds,force-feeding,force-fed
ford -> fords,fording,forded
forecast -> forecasts,forecasting,forecasted
foreclose -> forecloses,foreclosing,foreclosed
forego -> foregoes,foregoing,forewent,foregone
foreknow -> foreknows,foreknew,foreknown,foreknowing
foreordain -> foreordains,foreordaining,foreordained
foresee -> foresees,foreseeing,foresaw,foreseen
foreshadow -> foreshadows,foreshadowing,foreshadowed
foreshorten -> foreshortens,foreshortening,foreshortened
foreshow -> foreshows,foreshowed,foreshown,foreshowing
forestall -> forestalls,forestalling,forestalled
foretell -> foretells,foretelling,foretold
forewarn -> forewarns,forewarning,forewarned
forfeit -> forfeits,forfeiting,forfeited
forge -> forges,forging,forged
forget -> forgets,forgetting,forgot,forgotten
forgive -> forgives,forgiving,forgave,forgiven
forgo -> forgoes,forwent,forgone,forgoing
fork -> forks,forking,forked
form -> forms,forming,formed
formalize -> formalizes,formalizing,formalized
formulate -> formulates,formulating,formulated
fornicate -> fornicates,fornicating,fornicated
forsake -> forsakes,forsaking,forsook,forsaken
forswear -> forswears,forswearing,forswore,forsworn
fortify -> fortifies,fortifying,fortified
forward -> forwards,forwarding,forwarded
fossilize -> fossilizes,fossilizing,fossilized
foster -> fosters,fostering,fostered
foul -> fouls,fouling,fouled,fouler,foulest
found -> founds,founding,founded
founder -> founders,foundering,foundered
fox -> foxes,foxing,foxed
fracture -> fractures,fracturing,fractured
fragment -> fragments,fragmenting,fragmented
frame -> frames,framing,framed
frank -> franker,frankest,franks,franking,franked
fraternize -> fraternizes,fraternizing,fraternized
fray -> frays,fraying,frayed
freak -> freaks,freaking,freaked
free -> frees,freeing,freed,freer,freest
freelance -> freelances,freelancing,freelanced
freewheel -> freewheels,freewheeling,freewheeled
freeze -> freezes,freezing,froze,frozen
freight -> freights,freighting,freighted
frequent -> frequents,frequenting,frequented
freshen -> freshens,freshening,freshened
fret -> frets,fretting,fretted
friendly -> friendlier,friendliest,friendlies
frig -> frigs,frigging,frigged
frighten -> frightens,frightening,frightened
frisk -> frisks,frisking,frisked
fritter -> fritters,frittering,frittered
frizz -> frizzes,frizzing,frizzed
frizzle -> frizzles,frizzling,frizzled
frog-march -> frog-marches,frog-marching,frog-marched
frolic -> frolics,frolicking,frolicked
front -> fronts,fronting,fronted
frost -> frosts,frosting,frosted
froth -> froths,frothing,frothed
frown -> frowns,frowning,frowned
fruit -> fruits,fruiting,fruited
frustrate -> frustrates,frustrating,frustrated
fry -> fries,frying,fried
fuck -> fucks,fucking,fucked
fudge -> fudges,fudging,fudged
fuel -> fuels,fuelling,fuelled
fulfil -> fulfils,fulfilling,fulfilled
fulminate -> fulminates,fulminating,fulminated
fumble -> fumbles,fumbling,fumbled
fume -> fumes,fuming,fumed
fumigate -> fumigates,fumigating,fumigated
function -> functions,functioning,functioned
fund -> funds,funding,funded
funk -> funks,funking,funked
funnel -> funnels,funnelling,funnelled
funny -> funnier,funniest,funnies
fur -> furs,furring,furred
furbish -> furbishes,furbishing,furbished
furl -> furls,furling,furled
furnish -> furnishes,furnishing,furnished
furrow -> furrows,furrowing,furrowed
further -> furthers,furthering,furthered, furtherst
fuse -> fuses,fusing,fused
fuss -> fusses,fussing,fussed
gab -> gabs,gabbing,gabbed
gabble -> gabbles,gabbling,gabbled
gad -> gads,gadding,gadded
gag -> gags,gagging,gagged
gain -> gains,gaining,gained
gainsay -> gainsays,gainsaying,gainsaid
gall -> galls,galling,galled
gallivant -> gallivants,gallivanting,gallivanted
gallop -> gallops,galloping,galloped
galvanize -> galvanizes,galvanizing,galvanized
gamble -> gambles,gambling,gambled
gambol -> gambols,gambolling,gambolled
gang -> gangs,ganging,ganged
gaol -> gaols,gaoling,gaoled
gape -> gapes,gaping,gaped
gargle -> gargles,gargling,gargled
garland -> garlands,garlanding,garlanded
garner -> garners,garnering,garnered
garnish -> garnishes,garnishing,garnished
garrison -> garrisons,garrisoning,garrisoned
garrotte -> garrottes,garrotting,garrotted
gas -> gases,gasses,gassing,gassed
gash -> gashes,gashing,gashed
gasp -> gasps,gasping,gasped
gatecrash -> gatecrashes,gatecrashing,gatecrashed
gather -> gathers,gathering,gathered
gauge -> gauges,gauging,gauged
gawk -> gawks,gawking,gawked
gawp -> gawps,gawping,gawped
gay -> gays,gayer,gayest
gaze -> gazes,gazing,gazed
gazump -> gazumps,gazumping,gazumped
gear -> gears,gearing,geared
gel -> gels,gelling,gelled
gen -> gens,genning,genned
generalize -> generalizes,generalizing,generalized
generate -> generates,generating,generated
genuflect -> genuflects,genuflecting,genuflected
germinate -> germinates,germinating,germinated
gesticulate -> gesticulates,gesticulating,gesticulated
gesture -> gestures,gesturing,gestured
get -> gets,getting,got,gotten
ghost -> ghosts,ghosting,ghosted
ghost-write -> ghost-writes,ghost-writing,ghost-wrote,ghost-written
ghostwrite -> ghostwrites,ghostwrote,ghostwritten,ghostwriting
gibber -> gibbers,gibbering,gibbered
giggle -> giggles,giggling,giggled
gild -> gilds,gilt,gilded,gilding
gird -> girds,girt,girded,girding
girdle -> girdles,girdling,girdled
give -> gives,giving,gave,given
